timestamp,engine_id,mission_id,rpm,cht,egt,oil_pressure,oil_temperature,fuel_flow,vibration,battery_voltage,alternator_current,injection_timing,throttle,altitude,ambient_temperature,ambient_pressure,engine_load
2026-09-20T08:00:00Z,AEGIS-ENG-001,MSN-SYN-DEGR,5659,145.8,854.4,4.02,108.4,31.4,4.36,28.2,41.7,25.7,100,1000,20.0,976,96.0
2026-09-20T08:00:01Z,AEGIS-ENG-001,MSN-SYN-DEGR,5661,144.8,854.1,4.01,108.4,31.4,4.28,28.1,40.9,25.7,100,1025,20.0,975,96.0
2026-09-20T08:00:02Z,AEGIS-ENG-001,MSN-SYN-DEGR,5639,143.4,859.0,4.06,108.1,31.5,4.27,28.1,41.7,25.7,100,1050,19.9,974,96.0
2026-09-20T08:00:03Z,AEGIS-ENG-001,MSN-SYN-DEGR,5663,145.2,858.2,4.03,107.4,31.4,4.24,28.2,40.8,25.7,100,1075,19.9,973,96.0
2026-09-20T08:00:04Z,AEGIS-ENG-001,MSN-SYN-DEGR,5661,143.5,857.6,4.08,108.2,31.6,4.35,28.2,41.6,25.7,100,1100,19.8,973,96.0
2026-09-20T08:00:05Z,AEGIS-ENG-001,MSN-SYN-DEGR,5633,143.5,854.7,4.04,107.3,31.5,4.29,28.2,41.2,25.7,100,1125,19.8,972,96.0
2026-09-20T08:00:06Z,AEGIS-ENG-001,MSN-SYN-DEGR,5669,145.1,856.2,4.05,108.4,31.4,4.34,28.2,41.6,25.7,100,1150,19.7,971,96.0
2026-09-20T08:00:07Z,AEGIS-ENG-001,MSN-SYN-DEGR,5665,145.5,858.5,4.05,107.8,31.7,4.25,28.2,41.6,25.7,100,1175,19.7,970,96.0
2026-09-20T08:00:08Z,AEGIS-ENG-001,MSN-SYN-DEGR,5632,144.4,854.0,4.09,108.8,31.7,4.27,28.2,41.1,25.7,100,1200,19.6,969,96.0
2026-09-20T08:00:09Z,AEGIS-ENG-001,MSN-SYN-DEGR,5651,145.5,855.1,4.10,108.3,31.4,4.32,28.2,41.4,25.7,100,1225,19.6,968,96.0
2026-09-20T08:00:10Z,AEGIS-ENG-001,MSN-SYN-DEGR,5652,144.2,856.8,4.09,108.0,31.6,4.21,28.2,41.6,25.7,100,1250,19.5,967,96.0
2026-09-20T08:00:11Z,AEGIS-ENG-001,MSN-SYN-DEGR,5642,144.5,854.8,4.10,107.6,31.8,4.29,28.3,41.3,25.7,100,1275,19.5,966,96.0
2026-09-20T08:00:12Z,AEGIS-ENG-001,MSN-SYN-DEGR,5655,144.6,859.0,4.05,108.4,31.7,4.27,28.2,41.5,25.7,100,1300,19.4,965,96.0
2026-09-20T08:00:13Z,AEGIS-ENG-001,MSN-SYN-DEGR,5669,145.7,857.1,4.09,107.5,31.5,4.27,28.2,40.9,25.7,100,1325,19.4,964,96.0
2026-09-20T08:00:14Z,AEGIS-ENG-001,MSN-SYN-DEGR,5637,144.3,853.7,4.02,107.2,31.6,4.22,28.2,41.6,25.7,100,1350,19.3,964,96.0
2026-09-20T08:00:15Z,AEGIS-ENG-001,MSN-SYN-DEGR,5635,143.3,855.2,4.03,107.3,31.6,4.28,28.3,41.3,25.7,100,1375,19.3,963,96.0
2026-09-20T08:00:16Z,AEGIS-ENG-001,MSN-SYN-DEGR,5669,144.8,854.3,4.06,107.7,31.8,4.26,28.2,41.5,25.7,100,1400,19.2,962,96.0
2026-09-20T08:00:17Z,AEGIS-ENG-001,MSN-SYN-DEGR,5669,145.4,854.1,4.04,108.5,31.8,4.21,28.1,41.8,25.7,100,1425,19.2,961,96.0
2026-09-20T08:00:18Z,AEGIS-ENG-001,MSN-SYN-DEGR,5638,143.5,854.3,4.07,109.1,31.6,4.35,28.2,41.4,25.7,100,1450,19.1,960,96.0
2026-09-20T08:00:19Z,AEGIS-ENG-001,MSN-SYN-DEGR,5640,144.6,857.0,4.08,108.2,31.7,4.34,28.3,41.0,25.7,100,1475,19.1,959,96.0
2026-09-20T08:00:20Z,AEGIS-ENG-001,MSN-SYN-DEGR,5643,146.0,853.7,4.03,109.0,31.4,4.19,28.2,41.7,25.7,100,1500,19.0,958,96.0
2026-09-20T08:00:21Z,AEGIS-ENG-001,MSN-SYN-DEGR,5663,145.3,857.8,4.07,108.2,31.6,4.33,28.2,40.8,25.7,100,1525,19.0,957,96.0
2026-09-20T08:00:22Z,AEGIS-ENG-001,MSN-SYN-DEGR,5658,145.3,856.9,4.01,108.0,31.4,4.23,28.1,41.5,25.7,100,1550,18.9,956,96.0
2026-09-20T08:00:23Z,AEGIS-ENG-001,MSN-SYN-DEGR,5633,145.3,857.2,4.05,107.3,31.8,4.20,28.3,40.9,25.7,100,1575,18.9,956,96.0
2026-09-20T08:00:24Z,AEGIS-ENG-001,MSN-SYN-DEGR,5639,143.2,859.6,4.09,107.8,31.3,4.20,28.1,41.6,25.7,100,1600,18.8,955,96.0
2026-09-20T08:00:25Z,AEGIS-ENG-001,MSN-SYN-DEGR,5651,144.6,859.3,4.10,107.3,31.4,4.32,28.3,41.6,25.7,100,1625,18.8,954,96.0
2026-09-20T08:00:26Z,AEGIS-ENG-001,MSN-SYN-DEGR,5645,145.9,857.7,4.08,108.7,31.5,4.33,28.2,41.6,25.7,100,1650,18.7,953,96.0
2026-09-20T08:00:27Z,AEGIS-ENG-001,MSN-SYN-DEGR,5649,146.0,853.9,4.01,108.3,31.6,4.34,28.3,41.4,25.7,100,1675,18.7,952,96.0
2026-09-20T08:00:28Z,AEGIS-ENG-001,MSN-SYN-DEGR,5651,143.4,857.1,4.12,108.6,31.5,4.25,28.3,41.6,25.7,100,1700,18.6,951,96.0
2026-09-20T08:00:29Z,AEGIS-ENG-001,MSN-SYN-DEGR,5650,145.3,859.2,4.07,108.1,31.4,4.34,28.1,41.2,25.7,100,1725,18.6,950,96.0
2026-09-20T08:00:30Z,AEGIS-ENG-001,MSN-SYN-DEGR,5637,144.7,854.4,4.02,107.5,31.4,4.32,28.2,41.0,25.7,100,1750,18.5,949,96.0
2026-09-20T08:00:31Z,AEGIS-ENG-001,MSN-SYN-DEGR,5643,144.8,857.7,4.06,108.2,31.3,4.31,28.2,40.8,25.7,100,1775,18.5,949,96.0
2026-09-20T08:00:32Z,AEGIS-ENG-001,MSN-SYN-DEGR,5665,143.8,859.2,4.11,108.9,31.8,4.33,28.3,41.1,25.7,100,1800,18.4,948,96.0
2026-09-20T08:00:33Z,AEGIS-ENG-001,MSN-SYN-DEGR,5649,144.1,856.6,4.02,107.8,31.8,4.27,28.2,40.8,25.7,100,1825,18.4,947,96.0
2026-09-20T08:00:34Z,AEGIS-ENG-001,MSN-SYN-DEGR,5656,145.6,854.5,4.06,108.5,31.8,4.30,28.1,41.7,25.7,100,1850,18.3,946,96.0
2026-09-20T08:00:35Z,AEGIS-ENG-001,MSN-SYN-DEGR,5631,143.1,858.5,4.04,108.2,31.8,4.30,28.2,40.9,25.7,100,1875,18.3,945,96.0
2026-09-20T08:00:36Z,AEGIS-ENG-001,MSN-SYN-DEGR,5647,144.8,856.8,4.06,107.4,31.9,4.19,28.2,40.8,25.7,100,1900,18.2,944,96.0
2026-09-20T08:00:37Z,AEGIS-ENG-001,MSN-SYN-DEGR,5669,143.2,859.1,4.07,107.8,31.5,4.18,28.2,41.5,25.7,100,1925,18.2,943,96.0
2026-09-20T08:00:38Z,AEGIS-ENG-001,MSN-SYN-DEGR,5641,143.0,855.1,4.11,108.3,31.6,4.26,28.2,41.7,25.7,100,1950,18.1,942,96.0
2026-09-20T08:00:39Z,AEGIS-ENG-001,MSN-SYN-DEGR,5658,144.0,856.5,4.05,108.2,31.4,4.20,28.3,41.5,25.7,100,1975,18.1,942,96.0
2026-09-20T08:00:40Z,AEGIS-ENG-001,MSN-SYN-DEGR,5656,144.4,856.3,4.08,107.4,31.4,4.22,28.3,41.5,25.7,100,2000,18.0,941,96.0
2026-09-20T08:00:41Z,AEGIS-ENG-001,MSN-SYN-DEGR,5655,145.2,855.9,4.07,108.3,31.7,4.36,28.1,41.5,25.7,100,2025,18.0,940,96.0
2026-09-20T08:00:42Z,AEGIS-ENG-001,MSN-SYN-DEGR,5653,145.5,857.3,4.04,109.0,31.8,4.27,28.1,41.1,25.7,100,2050,17.9,939,96.0
2026-09-20T08:00:43Z,AEGIS-ENG-001,MSN-SYN-DEGR,5641,143.3,856.0,4.09,108.9,31.3,4.28,28.3,40.9,25.7,100,2075,17.9,938,96.0
2026-09-20T08:00:44Z,AEGIS-ENG-001,MSN-SYN-DEGR,5650,144.0,855.1,4.05,107.9,31.5,4.30,28.1,41.1,25.7,100,2100,17.8,937,96.0
2026-09-20T08:00:45Z,AEGIS-ENG-001,MSN-SYN-DEGR,5633,145.4,854.8,4.06,107.3,31.4,4.35,28.2,41.6,25.7,100,2125,17.8,936,96.0
2026-09-20T08:00:46Z,AEGIS-ENG-001,MSN-SYN-DEGR,5633,142.9,853.8,4.07,107.5,31.5,4.31,28.2,41.0,25.7,100,2150,17.7,935,96.0
2026-09-20T08:00:47Z,AEGIS-ENG-001,MSN-SYN-DEGR,5665,145.4,854.6,4.02,108.2,31.6,4.35,28.1,41.0,25.7,100,2175,17.7,935,96.0
2026-09-20T08:00:48Z,AEGIS-ENG-001,MSN-SYN-DEGR,5634,145.0,854.4,4.08,108.4,31.7,4.20,28.3,41.6,25.7,100,2200,17.6,934,96.0
2026-09-20T08:00:49Z,AEGIS-ENG-001,MSN-SYN-DEGR,5637,144.1,855.3,4.01,107.5,31.8,4.33,28.1,41.4,25.7,100,2225,17.6,933,96.0
2026-09-20T08:00:50Z,AEGIS-ENG-001,MSN-SYN-DEGR,5657,143.0,856.3,4.09,108.5,31.7,4.19,28.2,40.9,25.7,100,2250,17.5,932,96.0
2026-09-20T08:00:51Z,AEGIS-ENG-001,MSN-SYN-DEGR,5634,144.6,855.2,4.07,108.1,31.8,4.32,28.3,41.8,25.7,100,2275,17.5,931,96.0
2026-09-20T08:00:52Z,AEGIS-ENG-001,MSN-SYN-DEGR,5640,144.9,858.4,4.07,107.4,31.5,4.20,28.3,40.9,25.7,100,2300,17.4,930,96.0
2026-09-20T08:00:53Z,AEGIS-ENG-001,MSN-SYN-DEGR,5631,143.4,859.2,4.06,108.1,31.7,4.22,28.1,41.3,25.7,100,2325,17.4,929,96.0
2026-09-20T08:00:54Z,AEGIS-ENG-001,MSN-SYN-DEGR,5669,143.8,855.1,4.11,107.8,31.5,4.18,28.2,41.5,25.7,100,2350,17.3,929,96.0
2026-09-20T08:00:55Z,AEGIS-ENG-001,MSN-SYN-DEGR,5652,144.3,856.1,4.05,109.2,31.4,4.24,28.2,41.2,25.7,100,2375,17.3,928,96.0
2026-09-20T08:00:56Z,AEGIS-ENG-001,MSN-SYN-DEGR,5670,143.4,858.4,4.05,107.8,31.9,4.25,28.2,41.4,25.7,100,2400,17.2,927,96.0
2026-09-20T08:00:57Z,AEGIS-ENG-001,MSN-SYN-DEGR,5656,144.3,857.9,4.04,109.1,31.4,4.32,28.3,41.6,25.7,100,2425,17.2,926,96.0
2026-09-20T08:00:58Z,AEGIS-ENG-001,MSN-SYN-DEGR,5643,143.0,857.6,4.05,107.7,31.7,4.33,28.2,41.3,25.7,100,2450,17.1,925,96.0
2026-09-20T08:00:59Z,AEGIS-ENG-001,MSN-SYN-DEGR,5642,143.8,859.4,4.06,109.2,31.3,4.32,28.2,40.9,25.7,100,2475,17.1,924,96.0
2026-09-20T08:01:00Z,AEGIS-ENG-001,MSN-SYN-DEGR,5147,137.8,826.0,3.92,101.7,28.2,4.05,28.2,39.1,25.4,85,2500,17.1,923,82.0
2026-09-20T08:01:01Z,AEGIS-ENG-001,MSN-SYN-DEGR,5142,135.7,825.9,3.94,101.3,28.4,4.17,28.2,38.7,25.4,85,2535,17.0,922,82.0
2026-09-20T08:01:02Z,AEGIS-ENG-001,MSN-SYN-DEGR,5150,138.0,828.4,3.91,101.9,28.4,4.15,28.2,39.3,25.4,85,2570,16.9,921,82.0
2026-09-20T08:01:03Z,AEGIS-ENG-001,MSN-SYN-DEGR,5164,136.4,825.1,3.85,102.8,28.5,4.20,28.1,38.3,25.4,85,2605,16.8,920,82.0
